Feature,Importance
Tree_Cover_Loss_ha,0.4329700794083016
Fire_Incidents,0.12473995353542455
Illegal_Logging_Flag,0.11757183909596225
Forest_Area_ha,0.1156301344903425
Annual_Rainfall_mm,0.038999547783699545
Population_Density,0.037434815241648094
Day,0.02967274242079143
Month,0.0227325040594627
Year,0.014148592956697154
Forest_Type_Montane Forest,0.005554007329154102
Forest_Type_Woodland,0.004678887408092446
Forest_Type_Tropical Rainforest,0.004613415079340427
Forest_Type_Dry Forest,0.004580744696359979
Forest_Type_Mangrove,0.004534267754036627
Forest_Type_Plantation,0.00429759511243466
Region_Central,0.004293908633545201
District_Wakiso,0.004108653762188164
Region_Western,0.004072496644016593
District_Mukono,0.003947448191176718
District_Mbale,0.003942912993249848
Region_Eastern,0.003755347531608996
District_Kabale,0.003671679407388662
District_Mbarara,0.0035755896198747766
District_Gulu,0.003513604569382519
Region_Northern,0.0029592322758205617
